date,Temp,Pres,jO3_O2_O1D_CAFS,O3_M,H2O_M,CO_M,CH4_M,HO2_ATHOS,Altitude,[OH]_measured,[OH]_calc
2016-07-29 11:45:50-04:00,264.062,457.066,1.78178433333333e-05,6.18264e-08,0.005262174,8.41521e-08,1.8547125e-06,19.018,6635.39,3938433.979986473,3273115.901645137
2016-07-29 11:46:20-04:00,266.04900000000004,476.74,1.80947633333333e-05,7.1401e-08,0.003870496,7.41125e-08,1.85325875e-06,18.678,6306.23,4077279.869061931,3066306.3986223345
2016-07-29 11:46:50-04:00,267.706,496.992,1.84814066666667e-05,6.97592e-08,0.004577456,7.673939999999999e-08,1.851305e-06,20.772,5979.87,4573946.954787195,3455259.124746448
2016-07-29 11:47:20-04:00,269.36400000000003,518.044,1.891983e-05,5.75031e-08,0.00659442,8.76109e-08,1.856225e-06,20.764,5651.44,4933456.134676012,3703456.1826782227
2016-07-29 11:47:50-04:00,271.733,539.65,1.92496133333333e-05,5.66295e-08,0.006198706,8.39663e-08,1.85522e-06,19.628,5326.92,5094410.929910578,3530116.5004307376
2016-07-29 11:48:20-04:00,273.572,561.819,1.933179e-05,5.68887e-08,0.007908562,8.40604e-08,1.85706875e-06,18.492,5003.49,5268038.650027111,4409796.435642793
2016-07-29 11:48:50-04:00,275.057,584.638,1.946605e-05,5.65207e-08,0.009589823,8.496750000000002e-08,1.85531e-06,23.782,4681.99,5313789.5054479595,5171572.826246104
2016-07-29 11:49:20-04:00,277.249,608.904,1.97192566666667e-05,5.66902e-08,0.010503365,8.53034e-08,1.8498975e-06,23.354,4350.89,4710765.256220001,5592631.310395087
2016-07-29 11:49:50-04:00,279.316,633.825,1.93501e-05,5.24516e-08,0.012589001,8.50414e-08,1.848421111e-06,21.101,4022.62,4867278.264231816,5902118.75974675
2016-07-29 11:50:20-04:00,280.689,656.482,1.872274e-05,5.03184e-08,0.01451062,8.510939999999999e-08,1.8463675e-06,18.849,3732.54,5575890.558331591,6146586.755038163
2016-07-29 11:51:20-04:00,284.732,696.5889999999999,1.77199666666667e-05,4.59553e-08,0.010391509,7.5018254e-08,1.83777125e-06,23.612,3239.0,4680208.207992991,4083358.8566389084
2016-07-29 11:51:50-04:00,286.573,717.553,1.82772633333333e-05,4.79398e-08,0.009095085,7.4460675e-08,1.8421775e-06,21.192,2989.99,4790088.692781671,3817338.1813965808
2016-07-29 11:52:20-04:00,288.567,738.803,1.905848e-05,4.56861e-08,0.008574925,7.1496567e-08,1.83864125e-06,18.773,2744.05,4842207.6193291545,3608137.6461718213
2016-07-29 11:52:50-04:00,290.028,758.9,1.9425973333333306e-05,4.07939e-08,0.007404157,6.8741508e-08,1.8324e-06,19.517,2515.53,4948870.00415552,2881483.198142771
2016-07-29 11:53:20-04:00,290.071,775.922,1.9388773333333305e-05,3.47715e-08,0.010139609,6.9579742e-08,1.8349125e-06,19.014,2327.27,3993023.696996921,3261353.7351578237
2016-07-29 11:53:50-04:00,290.935,793.49,1.889514e-05,2.58911e-08,0.010981946,7.0940556e-08,1.83163875e-06,17.308,2136.39,4071304.836007246,2494745.1854181984
2016-07-29 11:54:20-04:00,292.288,811.0980000000001,1.96324166666667e-05,2.48985e-08,0.011594701,6.966236099999999e-08,1.83048875e-06,15.607,1948.71,3398364.5374187203,2613107.3676819964
2016-07-29 11:54:50-04:00,293.275,827.206,2.02122766666667e-05,1.9564143e-08,0.011228462,6.5953234e-08,1.8254175e-06,17.13,1779.5,3454190.2231051363,2097002.880651917
2016-07-29 11:55:20-04:00,293.406,839.0189999999999,2.03838166666667e-05,2.48351e-08,0.01313245,6.25716e-08,1.82945625e-06,17.069000000000006,1658.9,3833499.8187701916,3185229.400327623
2016-07-29 11:55:50-04:00,294.421,858.3439999999999,1.97106966666667e-05,2.39421e-08,0.013644956,6.36933e-08,1.82891875e-06,17.022000000000002,1461.7,3908276.076518447,3006612.7743110564
2016-07-29 11:56:20-04:00,295.28700000000003,877.655,1.9601496666666694e-05,1.97544e-08,0.014724758,6.30186e-08,1.828265e-06,16.975,1268.6,4178324.3253934765,2631568.466919124
2016-07-29 11:56:50-04:00,295.675,897.033,2.048201e-05,1.88683e-08,0.015254514,6.62342e-08,1.8296225e-06,16.687,1078.28,4264974.689454123,2615831.672587326
2016-07-29 11:59:20-04:00,295.51,921.598,2.07991766666667e-05,1.67432e-08,0.016510391,6.87948e-08,1.8301725e-06,18.766,843.76,4180824.945721447,2466357.8729089443
2016-07-29 11:59:50-04:00,295.443,921.411,2.07703066666667e-05,1.6811444e-08,0.016667175,6.927360000000002e-08,1.83043375e-06,18.297,845.35,4180924.5482355235,2485229.903227688
2016-07-29 12:00:20-04:00,295.28,921.387,2.04460566666667e-05,1.7622215e-08,0.016688408,6.9513e-08,1.8304825e-06,17.829,845.75,4725799.020531728,2565340.218378508
2016-07-29 12:00:50-04:00,295.249,921.644,2.20383733333333e-05,1.8432986e-08,0.01676207,6.99139e-08,1.831153399e-06,19.099,843.53,4727613.503924788,2894045.7710583126
2016-07-29 12:01:20-04:00,295.256,921.693,2.17010933333333e-05,1.84636e-08,0.016771812,7.03536e-08,1.831153399e-06,18.106,843.46,4727752.762230801,2845135.983124503
2016-07-29 12:01:50-04:00,295.101,917.855,2.28912766666667e-05,1.7844400000000006e-08,0.016738201,7.04084e-08,1.831153399e-06,18.945,880.34,4778154.313072571,2899924.756792588
2016-07-29 12:02:20-04:00,294.809,917.267,2.3633373333333305e-05,1.73579e-08,0.0168568069999999,7.15206e-08,1.831153399e-06,19.784,886.19,4779822.907693465,2910346.185142313
2016-07-29 12:04:20-04:00,294.696,873.7139999999999,2.65142866666667e-05,1.81998e-08,0.014870298,6.317966700000001e-08,1.8275875e-06,17.592,1301.99,4554616.636628341,3323943.2143743983
2016-07-29 12:04:50-04:00,293.82,843.847,2.77048233333333e-05,2.27128e-08,0.013390147,6.3488778e-08,1.828945556e-06,21.395,1602.89,3766880.5164159453,3979892.0922642094
2016-07-29 12:05:20-04:00,292.261,814.5880000000001,2.77057166666667e-05,2.26022e-08,0.012738033,6.2058e-08,1.8293825e-06,20.757,1906.35,3655667.018694675,3907367.912527514
2016-07-29 12:05:50-04:00,291.012,786.579,2.84188e-05,1.73079e-08,0.010562889,6.1481786e-08,1.8231125e-06,20.243,2206.13,5033678.650036246,2640006.975065196
2016-07-29 12:10:20-04:00,277.495,616.6030000000001,2.64527866666667e-05,5.08141e-08,0.011944452,7.87022e-08,1.850735e-06,22.175,4233.63,7084742.354673579,7983107.643244452
2016-07-29 12:10:50-04:00,276.181,599.619,2.59216166666667e-05,5.64111e-08,0.011168323,8.2179111e-08,1.85209375e-06,22.818,4461.35,5270445.279820434,8026564.267106828
2016-07-29 12:11:20-04:00,275.113,583.322,2.60593866666667e-05,5.762519999999999e-08,0.009508166,7.77551e-08,1.85502875e-06,24.165,4684.75,5147104.243910947,7448377.168674442
2016-07-29 12:11:50-04:00,273.704,567.818,2.71999533333333e-05,6.33986e-08,0.008900928,7.65474e-08,1.85347e-06,23.014,4901.91,6554437.312370033,8241412.208935391
2016-07-29 12:13:20-04:00,269.318,521.097,2.84678133333333e-05,6.9358e-08,0.0065779509999999,7.45985e-08,1.85888875e-06,24.45,5586.81,7234754.647568721,7516236.177088236
2016-07-29 12:13:50-04:00,267.442,505.095,2.86334766666667e-05,6.9416e-08,0.006475592,7.58153e-08,1.85529125e-06,22.692,5832.11,5939557.638340437,7502371.320296242
2016-07-29 12:14:20-04:00,266.474,490.096,2.88098033333333e-05,6.586139999999999e-08,0.00539689,8.34728e-08,1.8515575e-06,20.934,6068.05,5784115.545220551,5668636.55948422
2016-07-29 12:14:50-04:00,265.55,476.885,2.85714066666667e-05,5.62066e-08,0.00619886,9.07329e-08,1.85334375e-06,21.248,6281.64,6858022.179834578,5202916.769409384
2016-07-29 12:16:20-04:00,264.07,445.966,3.00064866666667e-05,9.16972e-08,0.001867373,7.82316e-08,1.86766e-06,20.131,6805.14,7036738.995973288,3132039.3133187233
2016-07-29 12:16:50-04:00,262.754,436.033,2.99059966666667e-05,8.65702e-08,0.003711005,7.869510000000002e-08,1.864947778e-06,22.623,6979.53,6914468.159063864,5834256.410543536
2016-07-29 12:17:20-04:00,261.85400000000004,426.459,2.96922166666667e-05,9.56453e-08,0.002402699,7.7532333e-08,1.86856e-06,21.423,7151.95,6785890.228906183,4258228.579695427
2016-07-29 12:17:50-04:00,260.707,416.981,2.97515233333333e-05,9.69229e-08,0.00159911,7.75509e-08,1.86926875e-06,21.693,7324.09,7197407.434399537,2921034.775921634
2016-07-29 12:19:20-04:00,257.192,388.615,3.09093e-05,8.36003e-08,0.003228374,8.00341e-08,1.858984444e-06,22.923,7861.47,6996548.932484206,5275418.479155818
2016-07-29 12:19:50-04:00,256.152,379.657,3.04422833333333e-05,8.66272e-08,0.002663204,8.08413e-08,1.86319e-06,20.61,8037.09,6863022.651632115,4460635.703070734
2016-07-29 12:20:20-04:00,255.927,370.963,3.07514733333333e-05,8.45589e-08,0.00203822,8.2922333e-08,1.866268e-06,18.304,8211.18,5598383.070398868,3327154.623417945
2016-07-29 12:20:50-04:00,254.932,363.5580000000001,3.11779733333333e-05,9.05422e-08,0.001442104,8.2783774e-08,1.874231667e-06,18.15,8362.3,5508044.941566687,2586821.1958718686
