,Temp,Pres,UTC_Start_dt,lat,lon,Altitude,jO3_O2_O1D_CAFS,O3_M,H2O_M,OH_ATHOS,HO2_ATHOS,CO_M,CH4_M,NOX_M,NO_CL,HNO3_M,date,kO1DH2O,kO1DM,M,O3,H2O,O1D,source,P_atm,kOHCO,kOHCH4,CO,CH4,[OH]_calc,[OH]_measured,residual,date_only
2975,259.216,638.6080000000001,2016-08-08 21:38:50-04:00,-44.9421,170.15161,3745.0,1.14852833333333e-05,2.83373e-08,0.000459074,0.011,3.2880000000000003,6.18954e-08,1.80796125e-06,9.698e-12,0.003071,3.1596e-11,2016-08-08 21:38:50-04:00,2.054530199030777e-10,3.286503926122528e-11,1.7852270704349078e+19,505885150630.35114,8195513321328349.0,0.009874643957498208,33253.711986358496,0.6303060960000001,2.0672754864e-13,2.6019786269068432e-15,1104973436153.9678,32276213657973.336,106442.37439841387,196374.97774783985,89932.60334942598,2016-08-08
2976,260.142,647.274,2016-08-08 21:39:20-04:00,-44.91354000000001,170.20834,3642.79,1.149014e-05,2.8832e-08,0.000572127,0.006,3.944,6.12821e-08,1.80858375e-06,2.4654e-11,0.007298,3.1774999999999995e-11,2016-08-08 21:39:20-04:00,2.0528381085388942e-10,3.281543287616195e-11,1.803011933616189e+19,519844400700.2196,1.0315518085440294e+16,0.01005936023613662,42603.58079459409,0.638859438,2.0749734942e-13,2.6661800141426295e-15,1104923576170.6064,32608980841943.184,134731.86733059215,108180.71601697133,26551.151313620823,2016-08-08
2977,260.22900000000004,647.794,2016-08-08 21:39:50-04:00,-44.88416,170.26501000000005,3638.23,1.15896966666667e-05,2.89552e-08,0.000570395,0.006,2.819,6.165580000000001e-08,1.80857875e-06,3.3647e-11,0.00488,3.1786e-11,2016-08-08 21:39:50-04:00,2.0526798226159984e-10,3.281079420901097e-11,1.8038571490071642e+19,522310445209.32245,1.0289110985079414e+16,0.010191424558774396,43049.08795054075,0.639372678,2.0754354102e-13,2.672268879179844e-15,1112182556077.5593,32624177077299.406,135371.56201646567,108231.42894042985,27140.133076035825,2016-08-08
2978,260.297,649.2669999999999,2016-08-08 21:40:20-04:00,-44.85442000000001,170.32041999999996,3621.07,1.216395e-05,2.80642e-08,0.000515718,0.033,3.02,6.09616e-08,1.807293333e-06,3.1938000000000004e-11,0.001383,3.1816e-11,2016-08-08 21:40:20-04:00,2.052556187044289e-10,3.2807171199230673e-11,1.8074865762315094e+19,507256647726.76324,9321533621209616.0,0.010371927932650942,39689.16032152055,0.6408265289999999,2.0767438761e-13,2.677034830035549e-15,1101872736655.948,32666584387102.035,125487.28630249079,596470.5701563981,470983.2838539073,2016-08-08
2979,260.535,651.0319999999999,2016-08-08 21:40:50-04:00,-44.8242,170.37435,3597.31,1.13507333333333e-05,2.89563e-08,0.0005741419999999,0.033,3.219,6.343030000000001e-08,1.8088025e-06,5.2371000000000005e-11,0.003498,3.1852e-11,2016-08-08 21:40:50-04:00,2.0521240292986507e-10,3.279450870195517e-11,1.8107445020460956e+19,524324610245.9736,1.0396244698935682e+16,0.009986386317917017,42610.67921926167,0.6425685839999999,2.0783117255999999e-13,2.6937629632848634e-15,1148560669881.3447,32752791821622.324,130333.80747488776,597545.6856752115,467211.8782003237,2016-08-08
2980,260.257,648.139,2016-08-08 21:41:20-04:00,-44.79376,170.42642,3632.63,1.00683723333333e-05,2.91831e-08,0.000592909,0.037,3.338,6.25848e-08,1.80932875e-06,3.8453e-11,0.003506,3.1793e-11,2016-08-08 21:41:20-04:00,2.0526289051248698e-10,3.2809302103714166e-11,1.8046236682547847e+19,526645129730.4621,1.069977614521276e+16,0.008922482709480442,39192.30829825091,0.6397131930000001,2.0757418736999998e-13,2.6742306026610416e-15,1129420113529.9207,32651574859038.445,121807.42983262993,667710.7572542704,545903.3274216404,2016-08-08
2981,259.85400000000004,645.0269999999999,2016-08-08 21:41:50-04:00,-44.76477,170.47863999999996,3664.26,9.50480833333333e-06,2.889870000000001e-08,0.000522456,0.016,3.415,6.07886e-08,1.807968889e-06,2.8077e-11,0.009821,3.1728999999999995e-11,2016-08-08 21:41:50-04:00,2.0533629329990093e-10,3.283081531505192e-11,1.7987441777506492e+19,519813683695.6271,9397646881308932.0,0.008339177138394252,32183.85292967077,0.636641649,2.0729774841e-13,2.646093741844417e-15,1093431403236.1311,32520735126430.598,102916.27756392234,287799.0684401039,184882.79087618156,2016-08-08
2982,259.26,636.649,2016-08-08 21:42:20-04:00,-44.73606,170.53122,3766.13,9.798400333333327e-06,2.82574e-08,0.000306759,0.016,3.188,5.9961e-08,1.80721625e-06,2.0288e-11,0.007587,3.1556e-11,2016-08-08 21:42:20-04:00,2.0544494921422225e-10,3.286267243399574e-11,1.7794486425690956e+19,502825920725.31964,5458618861458532.0,0.008409156484188864,18860.82433535146,0.628372563,2.0655353066999999e-13,2.6050042150848033e-15,1066975200570.8555,32158485028913.11,62009.450062691285,284711.7828110553,222702.33274836402,2016-08-08
2983,259.348,636.883,2016-08-08 21:42:50-04:00,-44.7068,170.58543,3765.75,9.625051666666673e-06,2.83782e-08,0.00030087,0.016,2.9610000000000003,6.03308e-08,1.80732625e-06,2.4367e-11,0.005503,3.156e-11,2016-08-08 21:42:50-04:00,2.054288170022557e-10,3.285794169972473e-11,1.7794986670028495e+19,504989690719.4026,5353977639411473.0,0.008297196939249202,18251.53150312386,0.628603521,2.0657431689e-13,2.6110628612013675e-15,1073585781792.1552,32161346527142.586,59694.19084745199,284719.7867204559,225025.59587300394,2016-08-08
2984,259.397,637.143,2016-08-08 21:43:50-04:00,-44.70612,170.69967,3762.62,1.0163583333333302e-05,2.8304778e-08,0.0002878999999999,-0.008,3.0380000000000003,5.98642e-08,1.80714375e-06,1e-15,0.00532,3.1566e-11,2016-08-08 21:43:50-04:00,2.054198395861843e-10,3.2855309227061857e-11,1.779888842534634e+19,503793585526.19775,5124299977655431.0,0.008740172581962283,18400.386062833415,0.6288601410000001,2.0659741269e-13,2.6144407448078696e-15,1065516216472.6184,32165149974811.98,60482.468167487095,-142391.10740277075,202873.57557025785,2016-08-08
2985,259.184,637.721,2016-08-08 21:44:20-04:00,-44.74911,170.71319,3751.99,9.92123666666667e-06,2.82663e-08,0.000361315,-0.008,2.681,6.04622e-08,1.8076e-06,2.2144e-11,0.005933,3.1578e-11,2016-08-08 21:44:20-04:00,2.0545889141532128e-10,3.286676120197289e-11,1.7829675700146096e+19,503978962243.0396,6442129275598287.0,0.008513301997365476,22536.289422679143,0.6294306270000001,2.0664875643e-13,2.599779762255403e-15,1078021418117.3733,32228921795584.086,73513.49798643703,-142637.40560116878,216150.9035876058,2016-08-08
2986,259.18,636.9159999999999,2016-08-08 21:45:20-04:00,-44.76091,170.60422,3766.59,1.01269e-05,2.85488e-08,0.000327568,0.021,2.818,6.00306e-08,1.80727625e-06,1.808e-11,0.005751,3.1561e-11,2016-08-08 21:45:20-04:00,2.0545962546809563e-10,3.286697648080792e-11,1.7807443990019803e+19,508381156982.27734,5833148812922806.0,0.008778417383602525,21041.455118928312,0.6286360919999999,2.0657724827999999e-13,2.5995049967036094e-15,1068991547187.2827,32182970596368.027,69104.12682286436,373956.3237904159,304852.19696755154,2016-08-08
2987,259.347,636.5980000000001,2016-08-08 21:45:50-04:00,-44.71898,170.57879,3765.05,9.65432533333333e-06,2.83952e-08,0.000309784,0.013,2.722,5.99607e-08,1.80719875e-06,1.1601899999999997e-10,0.047557,3.1554e-11,2016-08-08 21:45:50-04:00,2.054290002542364e-10,3.2857995436210726e-11,1.778709214105907e+19,505068038763.80054,5510156551825843.0,0.008326940827376015,18851.293918952862,0.6283222260000001,2.0654900033999998e-13,2.6109939569810778e-15,1066526495742.4006,32144810683456.773,61966.01426837552,231232.19783376792,169266.1835653924,2016-08-08
2988,259.349,636.649,2016-08-08 21:46:20-04:00,-44.68449,170.62022,3769.02,9.37859666666667e-06,2.84136e-08,0.000314457,0.013,2.632,6.03264e-08,1.8073375e-06,4.0753e-11,0.002055,3.1556e-11,2016-08-08 21:46:20-04:00,2.0542863375185167e-10,3.285788796374101e-11,1.7788379946422147e+19,505431912445.66034,5593680592812069.0,0.008094154576358127,18602.0210436879,0.628372563,2.0655353066999999e-13,2.611131766708654e-15,1073108923999.8411,32149606141416.734,60870.22978102682,231248.93930348792,170378.7095224611,2016-08-08
2989,258.722,631.5980000000001,2016-08-08 21:47:20-04:00,-44.63405,170.73587,3826.62,1.03941466666667e-05,2.82989e-08,0.000298597,0.016,3.415,6.05518e-08,1.8072225e-06,3.3025e-11,0.002158,3.1451e-11,2016-08-08 21:47:20-04:00,2.0554384200276703e-10,3.289167928344125e-11,1.7690019022152258e+19,500608079305.9845,5282186609957598.0,0.008926120067273155,19382.550761217586,0.6233872260000001,2.0610485033999998e-13,2.5681800950746068e-15,1071162493825.5591,31969800402261.56,63995.005771750904,283040.3043544361,219045.2985826852,2016-08-08
